year,chla,chla_prevSummer,colour,colour_prevSummer,cyano,rain,TP,TP_prevSummer,wind_speed
1996,21.3,21.883333333333336,17.666666666666668,25.833333333333332,4.8,459.88040242121775,31.283333333333335,29.45,2.698542903857038
1997,23.066666666666666,21.3,19.0,17.666666666666668,2.82,434.06466311806616,29.416666666666668,31.283333333333335,2.237513985876802
1998,21.099999999999998,23.066666666666666,34.71153846153846,19.0,2.28,531.4233936926786,32.36666666666667,29.416666666666668,2.3911031713535182
1999,21.633333333333333,21.099999999999998,50.42307692307692,34.71153846153846,5.96,532.7890649178661,32.516666666666666,32.36666666666667,2.47731638794926
2000,22.166666666666668,21.633333333333333,42.56,50.42307692307692,4.67,610.7659853117253,32.666666666666664,32.516666666666666,2.5012831755852694
2001,21.03333333333333,22.166666666666668,68.70370370370371,42.56,0.58,470.42652397752124,38.333333333333336,32.666666666666664,2.413622912690887
2002,25.5,21.03333333333333,54.57692307692308,68.70370370370371,0.982,509.90273192630013,36.666666666666664,38.333333333333336,2.249685296030855
2003,16.821428571428573,25.5,42.875,54.57692307692308,1.291,481.39102778518054,33.57142857142857,36.666666666666664,2.3677858415330895
2004,25.599999999999998,16.821428571428573,38.666666666666664,42.875,5.26,529.1307245373021,36.833333333333336,33.57142857142857,2.473426538367069
2005,20.2,25.599999999999998,46.5,38.666666666666664,3.0625999999999998,456.1052773493404,32.01086956521739,36.833333333333336,2.5356968661200603
2006,29.15416666666667,20.2,48.333333333333336,46.5,4.5602,558.2892704394657,34.5,32.01086956521739,2.339323611709479
2007,17.944000000000003,29.15416666666667,65.71428571428571,48.333333333333336,3.588,586.6460768859316,32.16,34.5,2.5909774205798928
2008,15.887500000000003,17.944000000000003,69.0,65.71428571428571,0.739,437.44737511858136,32.75,32.16,2.342745719543797
2009,16.343478260869567,15.887500000000003,58.285714285714285,69.0,1.586,510.4845312851325,28.956521739130434,32.75,2.590992991268915
2010,11.695652173913041,16.343478260869567,61.714285714285715,58.285714285714285,0.224,571.5281016948574,26.347826086956523,28.956521739130434,2.525923136986401
2011,12.188000000000002,11.695652173913041,72.23076923076923,61.714285714285715,0.079,722.8304752045906,26.56,26.347826086956523,2.612070036831458
2012,13.52083333333333,12.188000000000002,64.0,72.23076923076923,0.211,628.2122391193773,26.041666666666668,26.56,2.464539780042862
2013,14.13846153846154,13.52083333333333,60.22307692307693,64.0,0.534,514.0362266206557,22.992307692307694,26.041666666666668,2.4712782550263035
2014,12.6,14.13846153846154,41.86363636363637,60.22307692307693,0.283,587.1069061141897,20.3,22.992307692307694,2.443801382116134
2015,14.924999999999997,12.6,52.833333333333336,41.86363636363637,0.233,637.2366718591518,24.25,20.3,2.6667646889299363
2016,9.590909090909092,14.924999999999997,52.0,52.833333333333336,0.166,425.7032482829829,18.75,24.25,2.6897952442195154
2017,12.866666666666665,9.590909090909092,42.0,52.0,0.258,563.5581294265962,19.666666666666668,18.75,2.5690653683235114
2018,10.741666666666667,12.866666666666665,36.333333333333336,42.0,0.614,336.6991495192346,18.666666666666668,19.666666666666668,2.66806077738645
2019,14.983333333333334,10.741666666666667,47.0,36.333333333333336,0.592,692.5498762302741,25.8,18.666666666666668,2.5002758896066495
